company,companyClean,subtype,maintype,region,country,id
Alibaba,Alibaba,ecommerce,platforms,Asia,China,iAL1
Amazon,Amazon,ecommerce,platforms,United States,USA,iAZ1
América Móvil,AmericaMovil,telcos,telcos,Latin America,Mexico,tAM1
Apple,Apple,internet,platforms,United States,USA,iAP1
AT&T,ATT,telcos,telcos,United States,USA,tAT1
Axiata,Axiata,telcos,telcos,Asia,Malaysia,tAX1
Baidu,Baidu,internet,platforms,Asia,China,iBA1
Bharti Airtel,BhartiAirtel,telcos,telcos,Asia,India,tBH1
Deutsche Telekom,DeutscheTelekom,telcos,telcos,Western Europe,GER,tDT1
Etisalat,Etisalat,telcos,telcos,Middle East,UAE,tET1
Facebook,Facebook,internet,platforms,United States,USA,iFB1
Google,Google,internet,platforms,United States,USA,iGO1
Kakao,Kakao,internet,platforms,Asia,South Korea,iKA1
Mail.Ru,MailRu,internet,platforms,Russia,Russia,iMA1
Microsoft,Microsoft,internet,platforms,United States,USA,iMS1
MTN,MTN,telcos,telcos,Africa,South Africa,tMT1
Ooredoo,Ooredoo,telcos,telcos,Middle East,Qatar,tOD1
Orange,Orange,telcos,telcos,Western Europe,France,tOR1
Samsung,Samsung,internet,platforms,Asia,South Korea,iSA1
Telefónica,Telefonica,telcos,telcos,Western Europe,Spain,tTF1
Telenor,Telenor,telcos,telcos,Western Europe,Norway,tTN1
Tencent,Tencent,internet,platforms,Asia,China,iTC1
Twitter,Twitter,internet,platforms,United States,USA,iTW1
Verizon Media,VerizonMedia,internet,platforms,United States,USA,iVM1
Vodafone,Vodafone,telcos,telcos,Western Europe,UK,tVF1
Yandex,Yandex,internet,platforms,Russia,Russia,iYA1
