Company,Rank,GovernanceRank,FreedomRank,PrivacyRank
Twitter,1,6,1,2
VerizonMedia,2,2,3,2
Microsoft,3,1,3,2
Google,4,4,2,5
Facebook,5,3,6,6
Apple,6,5,7,1
Kakao,7,7,5,7
Yandex,8,9,8,10
MailRu,8,10,9,10
Baidu,10,11,14,8
Alibaba,10,12,10,9
Samsung,12,8,11,14
Tencent,13,14,11,12
Amazon,14,13,13,13
Telefonica,1,1,1,2
Vodafone,2,2,2,3
ATT,3,5,4,4
Telenor,3,4,3,5
DeutscheTelekom,5,8,7,1
Orange,6,3,6,6
MTN,7,7,5,8
AmericaMovil,8,6,10,7
Axiata,9,10,9,9
BhartiAirtel,10,9,12,10
Etisalat,11,11,8,11
Ooredoo,12,12,11,12
