Company,CompanyClean,Class,Label,LabelShort
Alibaba,Alibaba,Group,Alibaba,Alibaba
Alibaba,Alibaba,OpCom,NA,NA
Alibaba,Alibaba,eCommerce,Taobao.com,Taobao.com
Alibaba,Alibaba,pda,AliGenie,AliGenie
Amazon,Amazon,Group,Amazon,Amazon
Amazon,Amazon,OpCom,NA,NA
Amazon,Amazon,eCommerce,Amazon.com,Amazon.com
Amazon,Amazon,pda,Alexa,Alexa
Amazon,Amazon,cloud,Amazon Cloud,Amazon Cloud
América Móvil,AmericaMovil,Group,América Móvil (Group),América Móvil
América Móvil,AmericaMovil,OpCom,Telcel (Operating Company),Telcel
América Móvil,AmericaMovil,mobile,Prepaid mobile,Prepaid mobile
América Móvil,AmericaMovil,mobile,Postpaid mobile,Postpaid mobile
Apple,Apple,Group,Apple,Apple
Apple,Apple,OpCom,NA,NA
Apple,Apple,mobileEcosystem,iOS (mobile ecosystem),iOS
Apple,Apple,messagingVoip,iMessage,iMessage
Apple,Apple,cloud,iCloud,iCloud
AT&T,ATT,Group,AT&T (Group),AT&T
AT&T,ATT,OpCom,NA,NA
AT&T,ATT,mobile,Prepaid mobile,Prepaid mobile
AT&T,ATT,mobile,Postpaid mobile,Postpaid mobile
AT&T,ATT,broadband,Fixed-line broadband,Fixed-line broadband
Axiata,Axiata,Group,Axiata (Group),Axiata
Axiata,Axiata,OpCom,Celcom (Operating Company),Celcom
Axiata,Axiata,mobile,Prepaid mobile,Prepaid mobile
Axiata,Axiata,mobile,Postpaid mobile,Postpaid mobile
Axiata,Axiata,broadband,Fixed-line broadband,Fixed-line broadband
Baidu,Baidu,Group,Baidu,Baidu
Baidu,Baidu,OpCom,NA,NA
Baidu,Baidu,search,Baidu Search,Baidu Search
Baidu,Baidu,cloud,Baidu Cloud,Baidu Cloud
Baidu,Baidu,socialNetworkBlogs,Baidu PostBar,Baidu PostBar
Bharti Airtel,BhartiAirtel,Group,Bharti Airtel (Group),Bharti Airtel
Bharti Airtel,BhartiAirtel,OpCom,Airtel India (Operating Company),Airtel India
Bharti Airtel,BhartiAirtel,mobile,Prepaid mobile,Prepaid mobile
Bharti Airtel,BhartiAirtel,mobile,Postpaid mobile,Postpaid mobile
