Company,Scope,2015,2017,2018,2019,2020,2017DiffAdjusted,2018DiffAdjusted,2019DiffAdjusted,2020DiffAdjusted
Alibaba,Total,,,,,25.12,,,,
Amazon,Total,,,,,20.09,,,,
AmericaMovil,Total,22.46,20.70,21.48,25.31,13.81,-1.76,0.39,3.39,3.15
Apple,Total,,35.26,43.66,46.28,42.96,,8.02,1.47,10.88
ATT,Total,49.72,48.41,48.52,47.88,35.56,-1.31,0.72,0.00,-3.57
Axiata,Total,15.59,13.32,13.79,13.63,14.76,-2.27,0.00,0.00,6.58
Baidu,Total,,12.99,16.71,22.89,24.86,,2.68,6.21,6.50
BhartiAirtel,Total,17.18,14.26,14.72,16.38,15.10,-2.92,0.46,2.86,3.48
DeutscheTelekom,Total,,,,43.57,33.76,,,,0.65
Etisalat,Total,14.19,7.73,8.33,7.57,10.58,-6.46,0.52,-0.13,6.42
Facebook,Total,41.07,52.67,54.84,56.63,45.24,11.60,2.11,2.53,0.89
Google,Total,64.82,64.72,63.34,61.44,48.29,-0.10,0.52,1.85,-0.80
Kakao,Total,47.14,50.06,49.29,49.85,41.15,2.92,0.25,1.52,4.68
MailRu,Total,13.47,21.57,21.17,20.75,27.12,8.10,0.00,0.08,11.77
Microsoft,Total,56.40,62.49,60.89,62.44,50.21,6.09,-0.42,1.26,1.05
MTN,Total,17.77,15.34,16.40,16.17,22.65,-2.43,0.09,1.35,12.52
Ooredoo,Total,,5.09,5.09,4.52,5.78,,0.00,3.23,5.63
Orange,Total,36.51,31.61,33.35,35.78,26.55,-4.90,2.09,-0.26,2.00
Samsung,Total,,25.55,27.88,28.51,22.84,,1.93,1.72,3.50
Telefonica,Total,,33.40,40.70,56.68,49.15,,5.51,-0.17,4.30
Telenor,Total,,,,44.74,36.97,,,16.19,4.11
Tencent,Total,15.92,22.24,22.62,25.86,21.91,6.32,0.91,,1.38
Twitter,Total,50.14,47.73,54.02,55.16,53.19,-2.41,4.60,4.17,0.27
VerizonMedia,Total,57.62,58.16,58.91,60.97,51.64,0.54,3.47,1.89,2.53
Vodafone,Total,53.53,48.11,51.85,51.78,42.36,-5.42,1.55,0.34,0.74
Yandex,Total,,27.94,26.44,31.76,27.49,,0.00,5.67,1.79
