Index,Company,Category,Score
2020,Alibaba,G,7
2020,Alibaba,F,17
2020,Alibaba,P,36
2020,Amazon,G,6
2020,Amazon,F,14
2020,Amazon,P,28
2020,Apple,G,49
2020,Apple,F,22
2020,Apple,P,54
2020,Baidu,G,11
2020,Baidu,F,13
2020,Baidu,P,37
2020,Facebook,G,62
2020,Facebook,F,35
2020,Facebook,P,46
2020,Google,G,54
2020,Google,F,46
2020,Google,P,48
2020,Kakao,G,42
2020,Kakao,F,38
2020,Kakao,P,44
2020,MailRu,G,24
2020,MailRu,F,19
2020,MailRu,P,34
2020,Microsoft,G,65
2020,Microsoft,F,40
2020,Microsoft,P,51
2020,Samsung,G,29
2020,Samsung,F,17
2020,Samsung,P,28
2020,Tencent,G,4
2020,Tencent,F,15
2020,Tencent,P,32
2020,Twitter,G,47
2020,Twitter,F,60
2020,Twitter,P,51
2020,Yahoo,G,64
2020,Yahoo,F,40
2020,Yahoo,P,51
2020,Yandex,G,24
2020,Yandex,F,20
2020,Yandex,P,33
2022,Alibaba,G,8
2022,Alibaba,F,18
2022,Alibaba,P,36
2022,Amazon,G,9
2022,Amazon,F,14
2022,Amazon,P,33
2022,Apple,G,49
2022,Apple,F,21
2022,Apple,P,56
2022,Baidu,G,26
2022,Baidu,F,14
2022,Baidu,P,37
2022,Facebook,G,64
2022,Facebook,F,36
2022,Facebook,P,45
2022,Google,G,56
2022,Google,F,44
2022,Google,P,47
2022,Kakao,G,42
2022,Kakao,F,38
2022,Kakao,P,43
2022,MailRu,G,13
2022,MailRu,F,18
2022,MailRu,P,36
2022,Microsoft,G,65
2022,Microsoft,F,38
2022,Microsoft,P,50
2022,Samsung,G,29
2022,Samsung,F,18
2022,Samsung,P,29
2022,Tencent,G,13
2022,Tencent,F,15
2022,Tencent,P,36
2022,Twitter,G,54
2022,Twitter,F,61
2022,Twitter,P,51
2022,Yahoo,G,65
2022,Yahoo,F,31
2022,Yahoo,P,55
2022,Yandex,G,30
2022,Yandex,F,22
2022,Yandex,P,43
