Company,LeadResearchers,OperatingCompanyEvaluated,Website,MarketCap,MarketCapDate,Exchange,StockSymbol,StockStructure,SalePrice,DateOfSale,SecondExchange,SecondStockSymbol,FirstServiceEval
Alibaba,"Jie Zhang, Afef Abrougui",NA,https://www.alibabagroup.com/,$272.04 billion,"as of April 13, 2022",NYSE,BABA,"Single class, one vote per share. Company partners (insiders) have the exclusive right to nominate candidates for the board of directors.",NA,NA,HKEX,9988,NA
Amazon,"Jie Zhang, Veszna Wessenauer",NA,https://www.amazon.com/,$1.58 trillion,"as of April 13, 2022",NasdaqGS,AMZN,"Single class, one vote per share.",NA,NA,NA,NA,NA
Apple,"Veszna Wessenauer, Afef Abrougui",NA,https://www.apple.com/,$2.78 trillion,"as of April 13, 2022",NasdaqGS,AAPL,"Single class, one vote per share.",NA,NA,NA,NA,Siri
Baidu,"Jie Zhang, Veszna Wessenauer",NA,https://www.baidu.com/,$46.82 billion,"as of April 13, 2022",NasdaqGS,BIDU,"Multi-class. Class A shareholders receive one vote per share; Class B (insider) shareholders receive ten votes per share.",NA,NA,HKEX,9888,NA
Meta,"Veszna Wessenauer, Afef Abrougui",NA,https://www.meta.com/,$583.60 billion,"as of April 13, 2022",NasdaqGS,FB,"Multi-class. Class A shareholders receive one vote per share; Class B (insider) shareholders receive ten votes per share.",NA,NA,NA,NA,NA
Google,"Jie Zhang, Afef Abrougui",NA,https://www.google.com/,$1.69 trillion,"as of April 13, 2022",NasdaqGS,GOOGL,"Multi-class. Class A shareholders receive one vote per share; Class B (insider) shareholders receive ten votes per share; Class C shareholders have no voting rights.",NA,NA,NA,NA,Google Assistant
Kakao,"Zak Rogoff, Mila Bajic",NA,https://www.kakaocorp.com/,$34.96 billion,"as of April 13, 2022",KRX,35720,"Single class, one vote per share.",NA,NA,NA,NA,NA
VK,"Veszna Wessenauer, Afef Abrougui",NA,https://vk.company/ru/,$721.57 million,"as of March 2, 2022",LSE,MAIL,"Multi-class. Ordinary Class shareholders receive one vote per share; Class A (insider) shareholders receive 25 votes per share.",NA,NA,NA,NA,Odnoklassniki
Microsoft,"Zak Rogoff, Mila Bajic",NA,https://www.microsoft.com/,$2.16 trillion,"as of April 13, 2022",NasdaqGS,MSFT,"Single class, one vote per share.",NA,NA,NA,NA,LinkedIn
Samsung,"Zak Rogoff, Mila Bajic",NA,https://www.samsung.com/,$377.08 billion,"as of April 13, 2022",KRX,5930,"Single class, one vote per share.",NA,NA,NA,NA,NA
Tencent,"Jie Zhang, Dumitrita Holdis",NA,https://tencent.com/,$563.58 billion,"as of April 13, 2022",HKEX,700,"Single class, one vote per share.",NA,NA,NA,NA,NA
Twitter,"Zak Rogoff, Mila Bajic",NA,https://www.twitter.com,$36.71 billion,"as of April 13, 2022",NYSE,TWTR,"Single class, one vote per share.",NA,NA,NA,NA,NA
Yandex,"Veszna Wessenauer, Afef Abrougui",NA,https://yandex.com/,$6.64 billion,"as of February 25, 2022",NasdaqGS,YNDX,"Multi-class. Class A shareholders receive one vote per share; Class B (insider) shareholders receive ten votes per share.",NA,NA,NA,NA,NA
Yahoo,"Zak Rogoff, Mila Bajic",NA,https://www.yahooinc.com/,NA,NA,NA,NA,"N/A. As a subsidiary of Apollo Global Management, Yahoo is not publicly traded as an independent company.","$5 billion ($4.25 billion in cash, plus preferred interests of $750 million)","September 1, 2021",NA,NA,NA
