Company,IndicatorLensId,IndicatorLensName,Score,Ranking
Alibaba,itUsa,User agency,26,12
Alibaba,itAds,Targeted advertising,32,7
Alibaba,itSec,Security,59,8
Alibaba,itPri,Private requests,3,9
Alibaba,itGoc,Government demands for data/censorship,8,11
Alibaba,itDat,Data handling,34,8
Alibaba,itMod,Content governance/moderation,27,9
Alibaba,itAlg,Algorithmic transparency,17,5
Amazon,itUsa,User agency,29,9
Amazon,itAds,Targeted advertising,25,11
Amazon,itSec,Security,52,12
Amazon,itPri,Private requests,0,12
Amazon,itGoc,Government demands for data/censorship,22,9
Amazon,itDat,Data handling,24,14
Amazon,itMod,Content governance/moderation,16,13
Amazon,itAlg,Algorithmic transparency,6,11
Apple,itUsa,User agency,39,7
Apple,itAds,Targeted advertising,20,14
Apple,itSec,Security,78,2
Apple,itPri,Private requests,13,5
Apple,itGoc,Government demands for data/censorship,72,3
Apple,itDat,Data handling,41,3
Apple,itMod,Content governance/moderation,12,14
Apple,itAlg,Algorithmic transparency,6,11
Baidu,itUsa,User agency,24,13
Baidu,itAds,Targeted advertising,27,10
Baidu,itSec,Security,67,5
Baidu,itPri,Private requests,2,10
Baidu,itGoc,Government demands for data/censorship,5,13
Baidu,itDat,Data handling,26,12
Baidu,itMod,Content governance/moderation,29,8
Baidu,itAlg,Algorithmic transparency,13,7
Meta,itUsa,User agency,46,2
Meta,itAds,Targeted advertising,35,4
Meta,itSec,Security,53,11
Meta,itPri,Private requests,13,5
Meta,itGoc,Government demands for data/censorship,68,5
Meta,itDat,Data handling,39,5
Meta,itMod,Content governance/moderation,38,2
Meta,itAlg,Algorithmic transparency,22,1
Google,itUsa,User agency,45,3
Google,itAds,Targeted advertising,43,3
Google,itSec,Security,51,13
Google,itPri,Private requests,18,4
Google,itGoc,Government demands for data/censorship,80,1
Google,itDat,Data handling,41,3
Google,itMod,Content governance/moderation,36,4
Google,itAlg,Algorithmic transparency,14,6
Kakao,itUsa,User agency,38,8
Kakao,itAds,Targeted advertising,22,13
Kakao,itSec,Security,64,6
Kakao,itPri,Private requests,29,1
Kakao,itGoc,Government demands for data/censorship,51,7
Kakao,itDat,Data handling,34,8
Kakao,itMod,Content governance/moderation,35,6
Kakao,itAlg,Algorithmic transparency,13,7
VK,itUsa,User agency,28,10
VK,itAds,Targeted advertising,29,8
VK,itSec,Security,61,7
VK,itPri,Private requests,2,10
VK,itGoc,Government demands for data/censorship,19,10
VK,itDat,Data handling,30,11
VK,itMod,Content governance/moderation,17,12
VK,itAlg,Algorithmic transparency,9,10
Microsoft,itUsa,User agency,42,5
Microsoft,itAds,Targeted advertising,33,5
Microsoft,itSec,Security,68,4
Microsoft,itPri,Private requests,21,3
Microsoft,itGoc,Government demands for data/censorship,66,5
Microsoft,itDat,Data handling,36,6
Microsoft,itMod,Content governance/moderation,37,3
Microsoft,itAlg,Algorithmic transparency,21,3
Samsung,itUsa,User agency,22,14
Samsung,itAds,Targeted advertising,24,12
Samsung,itSec,Security,34,14
Samsung,itPri,Private requests,0,12
Samsung,itGoc,Government demands for data/censorship,6,12
Samsung,itDat,Data handling,35,7
Samsung,itMod,Content governance/moderation,21,11
Samsung,itAlg,Algorithmic transparency,6,11
Tencent,itUsa,User agency,28,10
Tencent,itAds,Targeted advertising,33,5
Tencent,itSec,Security,57,9
Tencent,itPri,Private requests,7,8
Tencent,itGoc,Government demands for data/censorship,1,14
Tencent,itDat,Data handling,34,8
Tencent,itMod,Content governance/moderation,22,10
Tencent,itAlg,Algorithmic transparency,4,14
Twitter,itUsa,User agency,53,1
Twitter,itAds,Targeted advertising,47,1
Twitter,itSec,Security,57,9
Twitter,itPri,Private requests,26,2
Twitter,itGoc,Government demands for data/censorship,76,2
Twitter,itDat,Data handling,49,1
Twitter,itMod,Content governance/moderation,51,1
Twitter,itAlg,Algorithmic transparency,20,4
Yahoo,itUsa,User agency,43,4
Yahoo,itAds,Targeted advertising,47,1
Yahoo,itSec,Security,87,1
Yahoo,itPri,Private requests,0,12
Yahoo,itGoc,Government demands for data/censorship,72,3
Yahoo,itDat,Data handling,49,1
Yahoo,itMod,Content governance/moderation,36,4
Yahoo,itAlg,Algorithmic transparency,22,1
Yandex,itUsa,User agency,40,6
Yandex,itAds,Targeted advertising,28,9
Yandex,itSec,Security,75,3
Yandex,itPri,Private requests,8,7
Yandex,itGoc,Government demands for data/censorship,25,8
Yandex,itDat,Data handling,26,12
Yandex,itMod,Content governance/moderation,31,7
Yandex,itAlg,Algorithmic transparency,12,9
