Company,Scope,2015,2017,2018,2019,2020,2022,2017DiffAdjusted,2018DiffAdjusted,2019DiffAdjusted,2020DiffAdjusted,2022DiffAdjusted
Alibaba,Total,NA,NA,NA,NA,25.12,26.45,NA,NA,NA,NA,1.34
Amazon,Total,NA,NA,NA,NA,20.09,25.36,NA,NA,NA,NA,5.71
Apple,Total,NA,35.26,43.66,46.28,42.96,43.9,NA,8.02,1.47,10.88,1.04
Baidu,Total,NA,12.99,16.71,22.89,24.86,27.88,NA,2.68,6.21,6.5,3.02
Facebook,Total,41.07,52.67,54.84,56.63,45.24,45.72,11.6,2.11,2.53,0.89,0.51
Google,Total,64.82,64.72,63.34,61.44,48.29,47.04,-0.1,0.52,1.85,-0.8,NA
Kakao,Total,47.14,50.06,49.29,49.85,41.62,43.93,2.92,0.25,1.52,5.34,NA
MailRu,Total,13.47,21.57,21.17,20.75,27.12,27.93,8.1,0,0.08,11.77,NA
Microsoft,Total,56.4,62.49,60.89,62.44,50.21,49.62,6.09,-0.42,1.26,1.05,-0.28
Samsung,Total,NA,25.55,27.88,28.51,22.84,25.7,NA,1.93,-0.17,3.5,0.66
Tencent,Total,15.92,22.24,22.62,25.86,21.91,25.29,6.32,0.91,4.17,1.38,3.38
Twitter,Total,50.14,47.73,54.02,55.16,53.19,56.01,-2.41,4.6,1.89,0.27,2.82
Yahoo,Total,57.62,58.16,58.91,60.97,51.64,53.44,0.54,3.47,3.23,0.74,1.8
Yandex,Total,NA,27.94,26.44,31.76,27.49,35.1,NA,0,5.67,1.79,7.16
Alibaba,Governance,NA,NA,NA,NA,7.06,8.45,NA,NA,NA,NA,1.39
Amazon,Governance,NA,NA,NA,NA,5.93,13.95,NA,NA,NA,NA,8.02
Apple,Governance,NA,16.53,33.06,31.72,49.18,50.32,NA,11.81,0,22.69,1.22
Baidu,Governance,NA,0,5,7.36,10.91,26.45,NA,4.45,2.08,4.17,15.54
Facebook,Governance,61.85,81.3,80.43,77.97,62.03,64.62,19.45,0,0,3.13,2.59
Google,Governance,77.87,71.04,72.38,71.35,54.1,56.37,-6.83,0,2.78,0,NA
Kakao,Governance,39.44,35.37,34.81,33.01,41.63,47.55,-4.07,0,0,11.11,NA
MailRu,Governance,2.22,7.43,7.08,5.83,23.3,18,5.21,0,0,16.67,NA
Microsoft,Governance,82.04,87.69,88.15,84.55,65.14,65.33,5.65,0.46,0,0.69,0
Samsung,Governance,NA,21.76,32.41,32.07,29.46,29.46,NA,6.48,0,1.23,0
Tencent,Governance,7.92,8.61,6.94,4.17,3.54,12.71,0.69,0,0,0,9.18
Twitter,Governance,35,29.77,45.79,50.2,46.96,56.28,-5.23,14.35,6.25,2.31,9.32
Yahoo,Governance,79.54,87.5,88.24,84.05,64.21,59.16,7.96,3.24,0.76,-1.04,-5.05
Yandex,Governance,NA,9.95,6.9,29.09,23.53,33.44,NA,0,22.92,0,9.91
Alibaba,Freedom,NA,NA,NA,NA,16.69,18.16,NA,NA,NA,NA,1.47
Amazon,Freedom,NA,NA,NA,NA,13.89,16.3,NA,NA,NA,NA,2.7
Apple,Freedom,NA,21.68,29.79,32.95,22.22,21.47,NA,8.48,1.15,1.52,0.2
Baidu,Freedom,NA,12.76,12.5,12.5,13.06,14.38,NA,0,0,1.9,1.32
Facebook,Freedom,35.28,41.43,48.73,46.58,35.31,35.75,6.15,5.53,-1.07,-0.42,0.56
Google,Freedom,67.74,60.09,58.65,60.82,46.16,43.71,-7.65,0,4.88,-3.3,NA
Kakao,Freedom,58.75,54.81,54.69,53.15,38.02,40.9,-3.94,0,0,5.96,NA
MailRu,Freedom,23.33,21.19,22.42,23.62,19.23,17.03,-2.14,0,0,-0.19,NA
Microsoft,Freedom,46.15,53.33,51.68,55.36,40.3,41.97,7.18,-1.85,0.46,0,1.78
Samsung,Freedom,NA,20.17,22.02,29.9,14.81,17.37,NA,0,5.56,-0.14,0.67
Tencent,Freedom,18.89,14.37,14.26,14.12,14.66,14.66,-4.52,0.26,0,3.06,0
Twitter,Freedom,57.67,49.29,61.36,59.54,59.84,63.73,-8.38,10.37,-0.28,1.59,3.89
Yahoo,Freedom,52.53,43.09,48.34,55.93,39.63,30.74,-9.44,0.76,6.85,0,-8.89
Yandex,Freedom,NA,22.67,20.6,21.6,19.88,22.25,NA,0,1.82,0.62,2.36
Alibaba,Privacy,NA,NA,NA,NA,35.82,37.06,NA,NA,NA,NA,1.24
Amazon,Privacy,NA,NA,NA,NA,28.25,34.2,NA,NA,NA,NA,6.61
Apple,Privacy,NA,48.3,54.13,57.8,53.56,55.46,NA,6.52,2.13,9.77,1.5
Baidu,Privacy,NA,17.44,22.72,33.26,36.73,36.61,NA,3.43,10.69,9.63,-0.12
Facebook,Privacy,36.31,48.75,49.36,54.54,45.72,45.52,12.44,1.1,5.17,0.58,-0.2
Google,Privacy,57.13,64.93,62.68,58.45,47.66,45.97,7.8,0.96,0.03,0,NA
Kakao,Privacy,42.14,52.57,51.42,53.82,43.82,44.59,10.43,0.46,2.78,2.46,NA
MailRu,Privacy,11.24,26.48,25.25,24.29,33.21,37.91,15.24,0,0.14,14.96,NA
Microsoft,Privacy,52.74,58.67,56.41,58.61,51.28,49.06,5.93,0,2.08,1.67,-1.62
Samsung,Privacy,NA,29.5,29.29,26.62,25.1,29.08,NA,1.37,-3.08,6.16,0.88
Tencent,Privacy,17.24,30.73,32.02,38.96,32.47,35.97,13.49,1.54,7.64,1.24,3.51
Twitter,Privacy,51.25,52.93,53.09,54.62,51.2,51.2,1.68,-1.53,1.53,-1.25,0
Yahoo,Privacy,51.86,55.91,54.42,55.81,51.46,59.1,4.05,5.56,2.24,2.01,7.64
Yandex,Privacy,NA,36.57,35.88,37.73,33.04,42.79,NA,0,1.85,3.13,8.92
