Index,Company,Category,Indicator,IndicatorNr,IndicatorSuffix,Score,Score_Adjusted
2019,Alibaba,G,G01,1,NA,NA,NA
2019,Alibaba,G,G02,2,NA,NA,NA
2019,Alibaba,G,G03,3,NA,NA,NA
2019,Alibaba,G,G04a,4,a,NA,NA
2019,Alibaba,G,G04b,4,b,NA,NA
2019,Alibaba,G,G04c,4,c,NA,NA
2019,Alibaba,G,G04d,4,d,NA,NA
2019,Alibaba,G,G04e,4,e,NA,NA
2019,Alibaba,G,G05,5,NA,NA,NA
2019,Alibaba,G,G06a,6,a,NA,NA
2019,Alibaba,G,G06b,6,b,NA,NA
2019,Alibaba,F,F01a,1,a,NA,NA
2019,Alibaba,F,F01b,1,b,NA,NA
2019,Alibaba,F,F01c,1,c,NA,NA
2019,Alibaba,F,F01d,1,d,NA,NA
2019,Alibaba,F,F02a,2,a,NA,NA
2019,Alibaba,F,F02b,2,b,NA,NA
2019,Alibaba,F,F02c,2,c,NA,NA
2019,Alibaba,F,F02d,2,d,NA,NA
2019,Alibaba,F,F03a,3,a,NA,NA
2019,Alibaba,F,F03b,3,b,NA,NA
2019,Alibaba,F,F03c,3,c,NA,NA
2019,Alibaba,F,F04a,4,a,NA,NA
2019,Alibaba,F,F04b,4,b,NA,NA
2019,Alibaba,F,F04c,4,c,NA,NA
2019,Alibaba,F,F05a,5,a,NA,NA
2019,Alibaba,F,F05b,5,b,NA,NA
2019,Alibaba,F,F06,6,NA,NA,NA
2019,Alibaba,F,F07,7,NA,NA,NA
2019,Alibaba,F,F08,8,NA,NA,NA
2019,Alibaba,F,F09,9,NA,NA,NA
2019,Alibaba,F,F10,10,NA,NA,NA
2019,Alibaba,F,F11,11,NA,NA,NA
2019,Alibaba,F,F12,12,NA,NA,NA
2019,Alibaba,F,F13,13,NA,NA,NA
2019,Alibaba,P,P01a,1,a,NA,NA
2019,Alibaba,P,P01b,1,b,NA,NA
2019,Alibaba,P,P02a,2,a,NA,NA
2019,Alibaba,P,P02b,2,b,NA,NA
2019,Alibaba,P,P03a,3,a,NA,NA
2019,Alibaba,P,P03b,3,b,NA,NA
2019,Alibaba,P,P04,4,NA,NA,NA
2019,Alibaba,P,P05,5,NA,NA,NA
2019,Alibaba,P,P06,6,NA,NA,NA
2019,Alibaba,P,P07,7,NA,NA,NA
2019,Alibaba,P,P08,8,NA,NA,NA
2019,Alibaba,P,P09,9,NA,NA,NA
2019,Alibaba,P,P10a,10,a,NA,NA
2019,Alibaba,P,P10b,10,b,NA,NA
2019,Alibaba,P,P11a,11,a,NA,NA
2019,Alibaba,P,P11b,11,b,NA,NA
2019,Alibaba,P,P12,12,NA,NA,NA
2019,Alibaba,P,P13,13,NA,NA,NA
2019,Alibaba,P,P14,14,NA,NA,NA
2019,Alibaba,P,P15,15,NA,NA,NA
2019,Alibaba,P,P16,16,NA,NA,NA
2019,Alibaba,P,P17,17,NA,NA,NA
2019,Alibaba,P,P18,18,NA,NA,NA
2019,Amazon,G,G01,1,NA,NA,NA
2019,Amazon,G,G02,2,NA,NA,NA
2019,Amazon,G,G03,3,NA,NA,NA
2019,Amazon,G,G04a,4,a,NA,NA
2019,Amazon,G,G04b,4,b,NA,NA
2019,Amazon,G,G04c,4,c,NA,NA
2019,Amazon,G,G04d,4,d,NA,NA
2019,Amazon,G,G04e,4,e,NA,NA
2019,Amazon,G,G05,5,NA,NA,NA
2019,Amazon,G,G06a,6,a,NA,NA
2019,Amazon,G,G06b,6,b,NA,NA
2019,Amazon,F,F01a,1,a,NA,NA
2019,Amazon,F,F01b,1,b,NA,NA
2019,Amazon,F,F01c,1,c,NA,NA
2019,Amazon,F,F01d,1,d,NA,NA
2019,Amazon,F,F02a,2,a,NA,NA
2019,Amazon,F,F02b,2,b,NA,NA
2019,Amazon,F,F02c,2,c,NA,NA
2019,Amazon,F,F02d,2,d,NA,NA
2019,Amazon,F,F03a,3,a,NA,NA
2019,Amazon,F,F03b,3,b,NA,NA
2019,Amazon,F,F03c,3,c,NA,NA
2019,Amazon,F,F04a,4,a,NA,NA
2019,Amazon,F,F04b,4,b,NA,NA
2019,Amazon,F,F04c,4,c,NA,NA
2019,Amazon,F,F05a,5,a,NA,NA
2019,Amazon,F,F05b,5,b,NA,NA
2019,Amazon,F,F06,6,NA,NA,NA
2019,Amazon,F,F07,7,NA,NA,NA
2019,Amazon,F,F08,8,NA,NA,NA
2019,Amazon,F,F09,9,NA,NA,NA
2019,Amazon,F,F10,10,NA,NA,NA
2019,Amazon,F,F11,11,NA,NA,NA
2019,Amazon,F,F12,12,NA,NA,NA
2019,Amazon,F,F13,13,NA,NA,NA
2019,Amazon,P,P01a,1,a,NA,NA
2019,Amazon,P,P01b,1,b,NA,NA
2019,Amazon,P,P02a,2,a,NA,NA
2019,Amazon,P,P02b,2,b,NA,NA
2019,Amazon,P,P03a,3,a,NA,NA
2019,Amazon,P,P03b,3,b,NA,NA
2019,Amazon,P,P04,4,NA,NA,NA
2019,Amazon,P,P05,5,NA,NA,NA
2019,Amazon,P,P06,6,NA,NA,NA
2019,Amazon,P,P07,7,NA,NA,NA
2019,Amazon,P,P08,8,NA,NA,NA
2019,Amazon,P,P09,9,NA,NA,NA
2019,Amazon,P,P10a,10,a,NA,NA
2019,Amazon,P,P10b,10,b,NA,NA
2019,Amazon,P,P11a,11,a,NA,NA
2019,Amazon,P,P11b,11,b,NA,NA
2019,Amazon,P,P12,12,NA,NA,NA
2019,Amazon,P,P13,13,NA,NA,NA
2019,Amazon,P,P14,14,NA,NA,NA
2019,Amazon,P,P15,15,NA,NA,NA
2019,Amazon,P,P16,16,NA,NA,NA
2019,Amazon,P,P17,17,NA,NA,NA
2019,Amazon,P,P18,18,NA,NA,NA
2019,AmericaMovil,G,G01,1,NA,100,100
2019,AmericaMovil,G,G02,2,NA,0,0
2019,AmericaMovil,G,G03,3,NA,87.5,87.5
2019,AmericaMovil,G,G04a,4,a,0,0
2019,AmericaMovil,G,G04b,4,b,0,0
2019,AmericaMovil,G,G04c,4,c,0,0
2019,AmericaMovil,G,G04d,4,d,0,0
2019,AmericaMovil,G,G04e,4,e,NA,NA
2019,AmericaMovil,G,G05,5,NA,0,0
2019,AmericaMovil,G,G06a,6,a,38.89,38.89
2019,AmericaMovil,G,G06b,6,b,NA,NA
2019,AmericaMovil,F,F01a,1,a,66.67,66.67
2019,AmericaMovil,F,F01b,1,b,NA,NA
2019,AmericaMovil,F,F01c,1,c,NA,NA
2019,AmericaMovil,F,F01d,1,d,NA,NA
2019,AmericaMovil,F,F02a,2,a,50,50
2019,AmericaMovil,F,F02b,2,b,NA,NA
2019,AmericaMovil,F,F02c,2,c,NA,NA
2019,AmericaMovil,F,F02d,2,d,NA,NA
2019,AmericaMovil,F,F03a,3,a,83.33,83.33
2019,AmericaMovil,F,F03b,3,b,NA,NA
2019,AmericaMovil,F,F03c,3,c,NA,NA
2019,AmericaMovil,F,F04a,4,a,NA,NA
2019,AmericaMovil,F,F04b,4,b,NA,NA
2019,AmericaMovil,F,F04c,4,c,NA,NA
2019,AmericaMovil,F,F05a,5,a,0,0
2019,AmericaMovil,F,F05b,5,b,0,0
2019,AmericaMovil,F,F06,6,NA,0,0
2019,AmericaMovil,F,F07,7,NA,0,0
2019,AmericaMovil,F,F08,8,NA,0,0
2019,AmericaMovil,F,F09,9,NA,25,25
2019,AmericaMovil,F,F10,10,NA,0,0
