Index,Company,Score,Score_Adjusted
2019,Alibaba,NA,NA
2019,Amazon,NA,NA
2019,AmericaMovil,22.98,22.98
2019,Apple,43.76,43.76
2019,ATT,45.86,45.86
2019,Axiata,12.18,12.18
2019,Baidu,20.33,20.33
2019,Bharti Airtel,14.67,14.67
2019,DeutscheTelekom,40.8,40.8
2019,Etisalat,7.38,7.38
2019,Facebook,51.88,51.88
2019,Google,57.32,57.32
2019,Kakao,47.29,47.29
2019,Mail.Ru,18.59,18.59
2019,Microsoft,59.25,59.25
2019,MTN,14.42,14.42
2019,Ooredoo,4.43,4.43
2019,Orange,32.95,32.95
2019,Samsung,25.93,25.93
2019,Telefonica,57.66,57.66
2019,Telenor,42.12,42.12
2019,Tencent,22.86,22.86
2019,Twitter,56.35,56.35
2019,Verizon Media,57.64,57.64
2019,Vodafone,48.81,48.81
2019,Yandex,29.81,29.81
2020,Alibaba,21.74,27.22
2020,Amazon,19.1,22.58
2020,AmericaMovil,18.1,26.66
2020,Apple,35.82,55
2020,ATT,31.51,41.84
2020,Axiata,13.47,18.96
2020,Baidu,22.26,26.44
2020,Bharti Airtel,12.43,18.94
2020,DeutscheTelekom,28.01,42.03
2020,Etisalat,10.99,14.47
2020,Facebook,42.23,52.42
2020,Google,46.06,56.62
2020,Kakao,37.22,50.94
2020,Mail.Ru,23.37,30.04
2020,Microsoft,46.99,59.94
2020,MTN,18.33,26.83
2020,Ooredoo,6.53,10.11
2020,Orange,24.21,35.01
2020,Samsung,19.52,28.43
2020,Telefonica,49.42,62.41
2020,Telenor,32.27,45.95
2020,Tencent,21.8,24.46
2020,Twitter,46.46,57.3
2020,Verizon Media,50.35,60.46
2020,Vodafone,35,49.51
2020,Yandex,26.49,31.15
